SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE_FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,NA,Condo/Co-op,1440 Veteran Ave #258,Los Angeles,CA,90024,605000,1,1,Westwood - Century City,690,96863,1972,51,877,830,Contingent,NA,NA,https://www.redfin.com/CA/Los-Angeles/1440-Veteran-Ave-90024/unit-258/home/6802909,TheMLS,23-303855,N,Y,34.0533214,-118.4435542
MLS Listing,NA,Condo/Co-op,121 S Hope St #10,Los Angeles,CA,90012,678000,1,2,Downtown L.A.,1394,67190,1980,51,486,1099,Active,October-15-2023 02:00 PM,October-15-2023 04:00 PM,https://www.redfin.com/CA/Los-Angeles/121-S-Hope-St-90012/unit-10/home/6933338,TheMLS,23-304189,N,Y,34.0560037,-118.2507228
MLS Listing,NA,Condo/Co-op,420 S San Pedro St #617,Los Angeles,CA,90013,585000,1,1,Downtown L.A.,1020,76389,1922,52,574,746,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/420-S-San-Pedro-St-90013/unit-617/home/12289217,TheMLS,23-304161,N,Y,34.0450576,-118.2427032
PAST SALE,June-18-2013,Condo/Co-op,1100 Wilshire Blvd #3003,Los Angeles,CA,90017,525000,1,1,C42 - Downtown L.A.,750,NA,1986,53,700,1135,Pending,NA,NA,https://www.redfin.com/CA/Los-Angeles/1100-Wilshire-Blvd-90017/unit-3003/home/17237674,CRMLS,P1-14717,N,Y,34.0521526,-118.2638542
MLS Listing,NA,Condo/Co-op,655 S Hope St #1203,Los Angeles,CA,90017,489000,1,1,Downtown L.A.,600,11674,1964,53,815,897,Active,October-15-2023 02:00 PM,October-15-2023 05:00 PM,https://www.redfin.com/CA/Los-Angeles/655-S-Hope-St-90017/unit-1203/home/40005039,TheMLS,23-295675,N,Y,34.0483388,-118.2576416
MLS Listing,NA,Condo/Co-op,1100 Wilshire Blvd #2608,Los Angeles,CA,90017,525000,1,1,Downtown L.A.,820,27098,1986,54,640,1165,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/1100-Wilshire-Blvd-90017/unit-2608/home/17237290,TheMLS,23-301756,N,Y,34.0521526,-118.2638542
MLS Listing,NA,Condo/Co-op,645 W 9th St #401,Los Angeles,CA,90015,455000,1,1,Downtown L.A.,600,74720,2006,56,758,783,Active,October-15-2023 02:00 PM,October-15-2023 05:00 PM,https://www.redfin.com/CA/Los-Angeles/645-W-9th-St-90015/unit-401/home/17233255,TheMLS,23-302659,N,Y,34.0456361,-118.2608972
MLS Listing,NA,Condo/Co-op,877 Francisco St #1507,Los Angeles,CA,90017,767000,1,1,C42 - Downtown L.A.,870,128921,2017,57,882,1000,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/877-Francisco-St-90017/unit-1507/home/167455486,CRMLS,AR23155398,N,Y,34.0484553,-118.2634744
MLS Listing,NA,Condo/Co-op,889 Francisco St #911,Los Angeles,CA,90017,799000,1,1.5,Downtown L.A.,870,98914,2017,57,918,892,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/889-Francisco-St-90017/unit-911/home/142687142,TheMLS,23-302553,N,Y,34.0480073,-118.264768
MLS Listing,NA,Condo/Co-op,889 S Francisco St #810,Los Angeles,CA,90017,690000,1,1,Downtown L.A.,750,98914,2017,57,920,947,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/889-Francisco-St-90017/unit-810/home/143121747,TheMLS,23-302549,N,Y,34.0480073,-118.264768
MLS Listing,NA,Condo/Co-op,901 S Flower St #503,Los Angeles,CA,90015,725000,1,1,Downtown L.A.,930,65428,2009,57,780,426,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/901-S-Flower-St-90015/unit-503/home/28913112,TheMLS,23-300477,N,Y,34.045451,-118.2622063
MLS Listing,NA,Condo/Co-op,1850 Industrial St #701,Los Angeles,CA,90021,2399000,1,2.5,Downtown L.A.,2030,31620,1925,59,1182,1075,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/1850-E-Industrial-St-90021/unit-701/home/17232243,TheMLS,23-301679,N,Y,34.0354763,-118.2327896
MLS Listing,NA,Condo/Co-op,1850 Industrial St #702,Los Angeles,CA,90021,925000,1,1,Downtown L.A.,620,31620,1925,59,1492,786,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/1850-E-Industrial-St-90021/unit-702/home/17227644,TheMLS,23-301691,N,Y,34.0354763,-118.2327896
MLS Listing,NA,Condo/Co-op,630 W 6th St #307,Los Angeles,CA,90017,425000,1,1,C42 - Downtown L.A.,680,26571,1962,59,625,725,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/630-W-6th-St-90017/unit-307/home/12286022,CRMLS,WS23110984,N,Y,34.0491192,-118.2564635
MLS Listing,NA,Condo/Co-op,1050 S Grand Ave #2005,Los Angeles,CA,90015,650000,1,1,Downtown L.A.,686,21902,2017,60,948,750,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/1050-S-Grand-Ave-90015/unit-2005/home/143044267,TheMLS,23-292857,N,Y,34.0416367,-118.261515
MLS Listing,NA,Condo/Co-op,312-W 5th St #902,Los Angeles,CA,90013,449000,1,1,C42 - Downtown L.A.,890,27442,1923,60,504,360,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/312-W-5th-St-90013/unit-902/home/12172894,CRMLS,SR23149300,N,Y,34.0480407,-118.2512918
MLS Listing,NA,Condo/Co-op,877 Francisco St #2802,Los Angeles,CA,90017,998000,1,1,C42 - Downtown L.A.,823,128921,2017,60,1213,760,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/877-Francisco-St-90017/unit-2802/home/167455536,CRMLS,AR23151803,N,Y,34.0484553,-118.2634744
MLS Listing,NA,Condo/Co-op,889 Francisco St Unit 3109,Los Angeles,CA,90017,1590000,1,2,C42 - Downtown L.A.,1053,98914,2017,60,1510,NA,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/889-Francisco-St-90017/unit-3109/home/143519447,CRMLS,WS23142540,N,Y,34.0480073,-118.264768
MLS Listing,NA,Condo/Co-op,738 S Los Angeles St #501,Los Angeles,CA,90014,579000,1,1,Downtown L.A.,960,38308,1914,61,603,859,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/738-S-Los-Angeles-St-90014/unit-501/home/22949694,TheMLS,23-300663,N,Y,34.0423549,-118.2513914
MLS Listing,NA,Condo/Co-op,655 S Hope St #1403,Los Angeles,CA,90017,489500,1,1,C42 - Downtown L.A.,530,11674,1964,61,924,897,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/655-S-Hope-St-90017/unit-1403/home/28610971,CRMLS,SR23142077,N,Y,34.0483388,-118.2576416
MLS Listing,NA,Condo/Co-op,400 S Broadway #917,Los Angeles,CA,90013,580000,1,1,C42 - Downtown L.A.,599,36280,2021,63,968,565,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/400-S-Broadway-90013/unit-917/home/173209409,CRMLS,OC23150289,N,Y,34.0492595,-118.2494055
PAST SALE,June-25-2013,Condo/Co-op,1155 S Grand Ave #523,Los Angeles,CA,90015,700000,1,1,Downtown L.A.,1170,52748,2008,64,598,950,Pending,NA,NA,https://www.redfin.com/CA/Los-Angeles/1155-S-Grand-Ave-90015/unit-523/home/21917598,TheMLS,23-299429,N,Y,34.0405359,-118.2633243
MLS Listing,NA,Condo/Co-op,527 Molino St #123,Los Angeles,CA,90013,750000,1,1,C42 - Downtown L.A.,860,37034,2014,64,872,487,Contingent,NA,NA,https://www.redfin.com/CA/Los-Angeles/527-Molino-St-90013/unit-123/home/103725529,CRMLS,PW23149346,N,Y,34.0409528,-118.2341153
MLS Listing,NA,Condo/Co-op,312 W 5th St #1122,Los Angeles,CA,90013,474900,1,1,C42 - Downtown L.A.,670,27285,1923,66,709,317,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/312-W-5th-St-90013/unit-1122/home/17238525,CRMLS,CV23146716,N,Y,34.0480407,-118.2512918
MLS Listing,NA,Condo/Co-op,939 S Broadway #514,Los Angeles,CA,90015,569000,1,1,Downtown L.A.,995,NA,1925,66,572,607,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/939-S-Broadway-90015/unit-514/home/173208841,TheMLS,23-299325,N,Y,34.0416129,-118.2571335
MLS Listing,NA,Condo/Co-op,312 W 5th St #1115,Los Angeles,CA,90013,589000,1,1,C42 - Downtown L.A.,990,27285,1923,70,595,375,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/312-W-5th-St-90013/unit-1115/home/8163468,CRMLS,AR23139312,N,Y,34.0480407,-118.2512918
MLS Listing,NA,Condo/Co-op,10433 Wilshire Blvd #405,Los Angeles,CA,90024,675000,1,1,Westwood - Century City,873,31459,1963,71,773,972,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/10433-Wilshire-Blvd-90024/unit-405/home/6826541,TheMLS,23-296261,N,Y,34.0663496,-118.4308891
MLS Listing,NA,Condo/Co-op,400 S Broadway #1314,Los Angeles,CA,90013,769000,1,1,C42 - Downtown L.A.,903,NA,2021,72,852,782,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/400-S-Broadway-90013/unit-1314/home/173209479,CRMLS,P1-14599,N,Y,34.0492595,-118.2494055
MLS Listing,NA,Condo/Co-op,1111 S Grand Ave #411,Los Angeles,CA,90015,635000,1,1,Downtown L.A.,930,38726,2005,73,683,857,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/1111-S-Grand-Ave-90015/unit-411/home/12292514,TheMLS,23-297199,N,Y,34.0414052,-118.2625906
MLS Listing,NA,Condo/Co-op,312 W 5th St #507,Los Angeles,CA,90013,399995,1,1,C42 - Downtown L.A.,860,27285,1923,73,465,341,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/312-W-5th-St-90013/unit-507/home/8181092,CRMLS,OC23142863,N,Y,34.0480407,-118.2512918
MLS Listing,NA,Condo/Co-op,1100 S Hope St #1215,Los Angeles,CA,90015,895000,1,2,Downtown L.A.,1110,41205,2007,74,806,882,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/1100-S-Hope-St-90015/unit-1215/home/17230086,TheMLS,23-296133,N,Y,34.0418431,-118.2632115
MLS Listing,NA,Condo/Co-op,2121 James M Wood Blvd #105,Los Angeles,CA,90006,335000,1,1,C42 - Downtown L.A.,460,21307,1923,75,728,247,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/2121-James-M-Wood-Blvd-90006/unit-105/home/12292584,CRMLS,SR23141403,N,Y,34.053990400000004,-118.2795671
MLS Listing,NA,Condo/Co-op,1155 S Grand Ave #816,Los Angeles,CA,90015,898000,1,1.5,C42 - Downtown L.A.,1400,52748,2008,75,641,968,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/1155-S-Grand-Ave-90015/unit-816/home/21916243,CRMLS,TR23129027,N,Y,34.0405359,-118.2633243
MLS Listing,NA,Condo/Co-op,416 S Spring St #306,Los Angeles,CA,90013,549000,1,2,Downtown L.A.,1030,10334,1914,75,533,901,Contingent,NA,NA,https://www.redfin.com/CA/Los-Angeles/416-S-Spring-St-90013/unit-306/home/21913134,TheMLS,23-288179,N,Y,34.0483422,-118.2484769
PAST SALE,March-13-2020,Condo/Co-op,939 S Broadway #202,Los Angeles,CA,90015,540000,1,1,C42 - Downtown L.A.,660,15493,2019,77,818,483,Pending,NA,NA,https://www.redfin.com/CA/Los-Angeles/939-S-Broadway-90015/unit-202/home/171819034,CRMLS,SR23126232,N,Y,34.0416129,-118.2571335
MLS Listing,NA,Condo/Co-op,222 S Central Ave #316,Los Angeles,CA,90012,525000,1,1,C42 - Downtown L.A.,850,87054,1985,77,618,492,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/222-S-Central-Ave-90012/unit-316/home/6937116,CRMLS,WS23135119,N,Y,34.0464655,-118.2388199
MLS Listing,NA,Condo/Co-op,1234 Wilshire Blvd #508,Los Angeles,CA,90017,499000,1,1,Downtown L.A.,650,71332,2006,79,768,683,Contingent,NA,NA,https://www.redfin.com/CA/Los-Angeles/1234-Wilshire-Blvd-90017/unit-508/home/12293471,TheMLS,23-295174,N,Y,34.0532098,-118.2659385
MLS Listing,NA,Condo/Co-op,849 S Broadway #608,Los Angeles,CA,90014,1150000,1,2,Downtown L.A.,1540,22844,1930,79,747,1303,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/849-S-Broadway-90014/unit-608/home/21913696,TheMLS,23-295129,N,Y,34.0428165,-118.2561113
MLS Listing,NA,Condo/Co-op,849 S Broadway #307,Los Angeles,CA,90014,849000,1,1,Downtown L.A.,1110,22844,1930,81,765,1204,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/849-S-Broadway-90014/unit-307/home/17227527,TheMLS,23-294095,N,Y,34.0428165,-118.2561113
MLS Listing,NA,Condo/Co-op,900 W Olympic Blvd Unit 37E,Los Angeles,CA,90015,995000,1,2,Downtown L.A.,1100,399281,2010,81,905,2500,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/900-W-Olympic-Blvd-90015/unit-37E/home/51584626,TheMLS,23-294103,N,Y,34.0451611,-118.2666712
MLS Listing,NA,Condo/Co-op,1155 S Grand Ave #1505,Los Angeles,CA,90015,660000,1,1,Downtown L.A.,920,52748,2008,83,717,928,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/1155-S-Grand-Ave-90015/unit-1505/home/21914560,TheMLS,23-279081,N,Y,34.0405359,-118.2633243
MLS Listing,NA,Condo/Co-op,1155 S Grand Ave #316,Los Angeles,CA,90015,635000,1,1,Downtown L.A.,1020,52748,2008,83,623,850,Active,October-15-2023 02:00 PM,October-15-2023 05:00 PM,https://www.redfin.com/CA/Los-Angeles/1155-S-Grand-Ave-90015/unit-316/home/21920821,TheMLS,23-293521,N,Y,34.0405359,-118.2633243
MLS Listing,NA,Condo/Co-op,1850 Industrial St #306,Los Angeles,CA,90021,989000,1,1,Downtown L.A.,1147,31620,1925,85,862,892,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/1850-E-Industrial-St-90021/unit-306/home/17139464,TheMLS,23-293057,N,Y,34.0354763,-118.2327896
PAST SALE,January-12-2005,Condo/Co-op,4125 S Figueroa St #215,Los Angeles,CA,90037,375000,1,1,Downtown L.A.,538,39267,1927,87,697,437,Pending,NA,NA,https://www.redfin.com/CA/Los-Angeles/4125-S-Figueroa-St-90037/unit-215/home/108610816,TheMLS,23-262531,N,Y,34.0091315,-118.2831528
MLS Listing,NA,Condo/Co-op,312 W 5th St #921,Los Angeles,CA,90013,350000,1,1,Downtown L.A.,500,27285,1923,88,700,279,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/312-W-5th-St-90013/unit-921/home/8184074,TheMLS,22-223557,N,Y,34.0480407,-118.2512918
MLS Listing,NA,Condo/Co-op,420 S San Pedro St #606,Los Angeles,CA,90013,498000,1,1,Downtown L.A.,952,NA,1922,89,523,680,Contingent,NA,NA,https://www.redfin.com/CA/Los-Angeles/420-S-San-Pedro-St-90013/unit-606/home/16885088,TheMLS,23-290927,N,Y,34.0450576,-118.2427032
MLS Listing,NA,Condo/Co-op,253 S Broadway #307,Los Angeles,CA,90012,630000,1,1,C42 - Downtown L.A.,1000,13323,1897,89,630,744,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/253-S-Broadway-90012/unit-307/home/17235025,CRMLS,SB23127753,N,Y,34.0513191,-118.2483136
PAST SALE,July-11-2019,Condo/Co-op,4125 South Figueroa St #114,Los Angeles,CA,90037,350000,1,1,C42 - Downtown L.A.,538,39267,1927,93,651,437,Pending,NA,NA,https://www.redfin.com/CA/Los-Angeles/4125-S-Figueroa-St-90037/unit-114/home/108611499,CRMLS,OC23048840,N,Y,34.0091315,-118.2831528
MLS Listing,NA,Condo/Co-op,2025 Avenue Of The Stars #1202,Los Angeles,CA,90067,3750000,1,1.5,Westwood - Century City,1542,NA,1965,95,2432,2674,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/2025-Avenue-of-the-Stars-90067/unit-1202/home/176138454,TheMLS,23-289207,N,Y,34.0572178,-118.4156257
MLS Listing,NA,Condo/Co-op,211 Elm Ct Unit 14C,Los Angeles,CA,90067,1899000,1,1,Westwood - Century City,972,NA,NA,96,1954,1690,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/211-Elm-Ct-90067/unit-14C/home/186062133,TheMLS,23-289157,N,Y,34.0578185,-118.4164304
MLS Listing,NA,Condo/Co-op,400 Broadway #2414,Los Angeles,CA,90013,880000,1,1,C42 - Downtown L.A.,903,36280,2021,105,975,782,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/400-S-Broadway-90013/unit-2414/home/173209633,CRMLS,OC23097641,N,Y,34.0492595,-118.2494055
MLS Listing,NA,Condo/Co-op,655 S Hope St #1006,Los Angeles,CA,90017,525000,1,1,Downtown L.A.,660,11674,1964,107,795,913,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/655-S-Hope-St-90017/unit-1006/home/28647349,TheMLS,23-284405,N,Y,34.0483388,-118.2576416
MLS Listing,NA,Condo/Co-op,215 W 7th St #803,Los Angeles,CA,90014,475000,1,1,Downtown L.A.,707,NA,1911,113,672,638,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/215-W-7th-St-90014/unit-803/home/17239311,TheMLS,23-284349,N,Y,34.0449167,-118.2526731
MLS Listing,NA,Condo/Co-op,889 Francisco St #2501,Los Angeles,CA,90017,697900,1,2,C42 - Downtown L.A.,780,98910,2017,116,895,680,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/889-Francisco-St-90017/unit-2501/home/125604751,CRMLS,TR23108685,N,Y,34.0480073,-118.264768
MLS Listing,NA,Condo/Co-op,108 W 2nd St #507,Los Angeles,CA,90012,745000,1,1,Downtown L.A.,1250,19153,1910,117,596,717,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/108-W-2nd-St-90012/unit-507/home/8151314,TheMLS,23-280095,N,Y,34.0509671,-118.2448504
MLS Listing,NA,Condo/Co-op,460 S Spring St #703,Los Angeles,CA,90013,585000,1,1,Downtown L.A.,710,30787,1912,117,824,773,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/460-S-Spring-St-90013/unit-703/home/17228238,TheMLS,23-282121,N,Y,34.0475743,-118.249297
